Num_match;Competition;dom_ext;Gagne_perdu;Adveresaire;Capitaine;Starter/bench;Joueur;Minutes;Secondes;Secondes(minutes);Tps_jeu_decimal;Tirs_marques;Tirs_tentes;%Tirs;2pts_marques;2pts_tentes;%2pts;3pts_marques;3pts_tentes;%3pts;LF_marques;LF_tentes;%LF;Pts_apres_balles_perdues;Points_int;Point_2eme_chance;Points_CA;Points_banc;Ecart_max;Serie_max;Pts;RO;RD;RT;PD;BP;INT;CT;CTS;F;FPR;+/-;EVAL;N°;JOUEUR
17;Championat de France;Exterieur;Defaite;Lattes Montpellier;;Banc;TOTAUX EQUIPE;;;;;31;68;0,455882353;27;51;0,529411765;4;17;0,235294118;6;10;0,6;24;34;9;15;35;10;11;72;10;36;46;20;24;13;1;2;17;17;0;87;;TOTAUX EQUIPE
18;Championat de France;Domicile;Victoire;Lyon Asvel Féminin;;Starter;S. Gruda;22;57;0,95;22,95;4;9;0,444444444;4;9;0,444444444;0;0;;1;2;0,5;;;;;;;;9;3;4;7;4;1;2;1;1;0;1;-8;16;7;S. Gruda
18;Championat de France;Domicile;Victoire;Lyon Asvel Féminin;;Starter;L. Quevedo Canizares;32;8;0,13;32,13;0;9;0;0;3;0;0;6;0;1;2;0,5;;;;;;;;1;1;3;4;2;2;1;0;1;2;1;-18;-4;9;L. Quevedo Canizares
18;Championat de France;Domicile;Victoire;Lyon Asvel Féminin;Capitaine;Starter;A. Chery;31;19;0,32;31,32;5;8;0,625;2;3;0,666666667;3;5;0,6;0;0;;;;;;;;;13;0;9;9;3;2;0;1;1;1;1;-14;21;12;A. Chery(C)
18;Championat de France;Domicile;Victoire;Lyon Asvel Féminin;;Starter;J. Allemand;30;13;0,22;30,22;7;10;0,7;7;7;1;0;3;0;1;1;1;;;;;;;;15;0;3;3;5;4;0;1;0;0;2;-6;17;22;J. Allemand
18;Championat de France;Domicile;Victoire;Lyon Asvel Féminin;;Starter;M. Johannes;22;38;0,63;22,63;4;8;0,5;2;2;1;2;6;0,333333333;3;3;1;;;;;;;;13;1;5;6;1;5;1;0;0;3;2;-13;12;23;M. Johannes
18;Championat de France;Domicile;Victoire;Lyon Asvel Féminin;;Banc;G. Williams;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3;G. Williams
18;Championat de France;Domicile;Victoire;Lyon Asvel Féminin;;Banc;H. Ciak;17;3;0,05;17,05;0;2;0;0;2;0;0;0;;0;0;;;;;;;;;0;0;0;0;0;3;1;0;0;3;1;-5;-4;16;H. Ciak
18;Championat de France;Domicile;Victoire;Lyon Asvel Féminin;;Banc;J. Mouyokolo;20;57;0,95;20,95;1;4;0,25;1;4;0,25;0;0;;0;0;;;;;;;;;2;0;1;1;2;3;0;0;2;1;0;-5;-1;20;J. Mouyokolo
18;Championat de France;Domicile;Victoire;Lyon Asvel Féminin;;Banc;M. Faurat;2;49;0,82;2,82;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;1;1;0;0;0;0;1;3;0;21;M. Faurat
18;Championat de France;Domicile;Victoire;Lyon Asvel Féminin;;Banc;N. Miyem;19;56;0,93;19,93;4;7;0,571428571;3;6;0,5;1;1;1;3;4;0,75;;;;;;;;12;0;3;3;1;1;1;0;0;0;2;1;12;77;N. Miyem
18;Championat de France;Domicile;Victoire;Lyon Asvel Féminin;;Banc;TOTAUX EQUIPE;;;;;25;57;0,438596491;19;36;0,527777778;6;21;0,285714286;9;12;0,75;10;38;12;11;14;8;6;65;7;30;37;19;22;6;3;5;11;11;0;73;;TOTAUX EQUIPE
19;Championat de France;Exterieur;Victoire;Saint-Amand;;Starter;A. Peterson;30;14;0,23;30,23;4;9;0,444444444;1;4;0,25;3;5;0,6;7;9;0,777777778;;;;;;;;18;0;2;2;3;1;0;0;0;1;8;6;15;1;A. Peterson
19;Championat de France;Exterieur;Victoire;Saint-Amand;;Starter;S. Fuehring;32;14;0,23;32,23;4;9;0,444444444;3;5;0,6;1;4;0,25;2;2;1;;;;;;;;11;1;8;9;2;2;1;0;2;4;4;5;16;3;S. Fuehring
19;Championat de France;Exterieur;Victoire;Saint-Amand;;Starter;A. Salvadores;22;13;0,22;22,22;4;9;0,444444444;3;6;0,5;1;3;0,333333333;2;2;1;;;;;;;;11;0;1;1;3;2;1;0;1;2;6;1;9;8;A. Salvadores
19;Championat de France;Exterieur;Victoire;Saint-Amand;Capitaine;Starter;M. Djaldi-Tabdi;23;8;0,13;23,13;4;10;0,4;4;9;0,444444444;0;1;0;0;0;;;;;;;;;8;1;6;7;2;1;0;0;2;3;0;9;10;14;M. Djaldi-Tabdi(C)
19;Championat de France;Exterieur;Victoire;Saint-Amand;;Starter;K. Chery;26;25;0,42;26,42;3;5;0,6;3;4;0,75;0;1;0;0;4;0;;;;;;;;6;1;4;5;2;2;1;4;0;2;2;7;10;97;K. Chery
19;Championat de France;Exterieur;Victoire;Saint-Amand;;Banc;M. Pardon;27;43;0,72;27,72;2;8;0,25;2;6;0,333333333;0;2;0;0;0;;;;;;;;;4;1;5;6;5;2;2;0;0;1;1;7;9;5;M. Pardon
19;Championat de France;Exterieur;Victoire;Saint-Amand;;Banc;S. Macquet;24;37;0,62;24,62;0;4;0;0;3;0;0;1;0;2;2;1;;;;;;;;2;0;5;5;0;4;0;1;0;2;2;0;0;13;S. Macquet
19;Championat de France;Exterieur;Victoire;Saint-Amand;;Banc;L. Geiselsoder;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;15;L. Geiselsoder
19;Championat de France;Exterieur;Victoire;Saint-Amand;;Banc;L. Bussiere;13;25;0,42;13,42;0;4;0;0;1;0;0;3;0;0;2;0;;;;;;;;0;2;0;2;1;0;1;0;0;0;1;0;-2;28;L. Bussiere
19;Championat de France;Exterieur;Victoire;Saint-Amand;;Banc;TOTAUX EQUIPE;;;;;21;58;0,362068966;16;38;0,421052632;5;20;0,25;13;21;0,619047619;10;22;6;2;6;9;9;60;10;33;43;18;14;6;5;5;15;24;0;73;;TOTAUX EQUIPE
20;Championat de France;Domicile;Victoire;Charnay;;Starter;M. Pardon;19;23;0,38;19,38;0;5;0;0;5;0;0;0;;2;2;1;;;;;;;;2;0;1;1;7;2;1;1;0;1;1;8;5;5;M. Pardon
20;Championat de France;Domicile;Victoire;Charnay;;Starter;A. Salvadores;22;13;0,22;22,22;4;11;0,363636364;1;4;0,25;3;7;0,428571429;2;2;1;;;;;;;;13;0;2;2;0;3;1;0;1;2;1;-1;6;8;A. Salvadores
20;Championat de France;Domicile;Victoire;Charnay;Capitaine;Starter;M. Djaldi-Tabdi;21;58;0,97;21,97;4;7;0,571428571;4;7;0,571428571;0;0;;3;3;1;;;;;;;;11;4;8;12;0;1;1;1;0;3;2;13;21;14;M. Djaldi-Tabdi(C)
20;Championat de France;Domicile;Victoire;Charnay;;Starter;L. Geiselsoder;17;33;0,55;17,55;5;7;0,714285714;4;6;0,666666667;1;1;1;2;2;1;;;;;;;;13;2;5;7;1;0;1;1;0;2;2;-1;21;15;L. Geiselsoder
20;Championat de France;Domicile;Victoire;Charnay;;Starter;K. Chery;21;15;0,25;21,25;2;8;0,25;2;5;0,4;0;3;0;2;2;1;;;;;;;;6;3;0;3;1;1;2;0;0;2;1;14;5;97;K. Chery
20;Championat de France;Domicile;Victoire;Charnay;;Banc;A. Peterson;20;37;0,62;20,62;2;4;0,5;1;3;0,333333333;1;1;1;4;5;0,8;;;;;;;;9;1;1;2;6;0;1;0;0;0;4;8;15;1;A. Peterson
20;Championat de France;Domicile;Victoire;Charnay;;Banc;S. Fuehring;26;39;0,65;26,65;6;9;0,666666667;6;8;0,75;0;1;0;5;7;0,714285714;;;;;;;;17;4;4;8;3;1;0;0;0;2;5;24;22;3;S. Fuehring
